CPU Name,CPU Mark (Higher is better),Rank (Lower is better),CPU Value (Higher is better),Price (USD)
Intel Xeon E5-2609 v3 @ 1.90GHz,"4,391",1106,54.97,$79.88 
AMD Ryzen Embedded R1606G,"4,390",1107,NA,NA
AMD Athlon Gold 3150U,"4,386",1108,NA,NA
AMD Opteron 4386,"4,378",1109,18.24,$239.98 
Intel Pentium Gold G6505 @ 4.20GHz,"4,378",1110,58.37,$75.00*
Intel Core i3-8121U @ 2.20GHz,"4,369",1111,15.07,$290.00*
"Renoir based on Qualcomm Technologies, Inc SM7350","4,365",1112,NA,NA
Intel Core i7-2600S @ 2.80GHz,"4,355",1113,15.02,$290.00 
AMD FX-6130 Six-Core,"4,353",1114,NA,NA
Intel Core i7-2960XM @ 2.70GHz,"4,344",1115,10.6,$409.95*
Intel Core i5-4670T @ 2.30GHz,"4,333",1116,16.73,$259.02*
Hisilicon Kirin990,"4,327",1117,NA,NA
Intel Core i3-8109U @ 3.00GHz,"4,326",1118,8.65,$499.99*
Intel Core i3-6320 @ 3.90GHz,"4,317",1119,28.78,$149.99 
Intel Core i5-3470S @ 2.90GHz,"4,317",1120,18.97,$227.59*
AMD Ryzen 3 PRO 2100GE,"4,308",1121,NA,NA
Intel Core i7-2820QM @ 2.30GHz,"4,306",1122,25.63,$168.02*
Intel Core i3-7100 @ 3.90GHz,"4,302",1123,23.08,$186.40 
Intel Core i5-6400T @ 2.20GHz,"4,301",1124,26.88,$159.99 
Intel Xeon E5-1607 v2 @ 3.00GHz,"4,298",1125,172.27,$24.95*
Intel Atom C3958 @ 2.00GHz,"4,281",1126,9.53,$449.00*
Intel Pentium Gold G6405 @ 4.10GHz,"4,279",1127,66.86,$64.00*
Intel Core i7-4770TE @ 2.30GHz,"4,257",1128,NA,NA
Intel Core i7-7567U @ 3.50GHz,"4,256",1129,5.8,$733.99*
Intel Core i5-3450S @ 2.80GHz,"4,252",1130,37.15,$114.45 
Microsoft SQ2 @ 3.15 GHz,"4,242",1131,NA,NA
Intel Xeon E5-2648L @ 1.80GHz,"4,235",1132,NA,NA
Intel Core i5-3350P @ 3.10GHz,"4,229",1133,62.96,$67.16 
Intel Core i5-4440S @ 2.80GHz,"4,198",1134,9.07,$462.97*
AMD Ryzen Embedded V1500B,"4,194",1135,NA,NA
Intel Pentium Gold G6500 @ 4.10GHz,"4,191",1136,38.12,$109.95 
Intel Core i5-2550K @ 3.40GHz,"4,180",1137,32.21,$129.77 
Intel Core i3-6100 @ 3.70GHz,"4,171",1138,19.86,$209.95*
Intel Core i5-3570T @ 2.30GHz,"4,168",1139,NA,NA
AMD Athlon 200GE,"4,164",1140,53.48,$77.86*
Intel Core i7-7660U @ 2.50GHz,"4,163",1141,NA,NA
Hisilicon Kirin985,"4,162",1142,NA,NA
Intel Pentium Gold G5600F @ 3.90GHz,"4,160",1143,NA,NA
Intel Core i3-7300T @ 3.50GHz,"4,159",1144,22.9,$181.59*
Intel Pentium Gold G6400 @ 4.00GHz,"4,151",1145,38.29,$108.41 
Intel Core i5-3340 @ 3.10GHz,"4,149",1146,46.62,$88.99 
Intel Core i5-7287U @ 3.30GHz,"4,149",1147,NA,NA
Intel Core i5-7360U @ 2.30GHz,"4,144",1148,NA,NA
AMD Athlon PRO 200GE,"4,139",1149,NA,NA
AMD Opteron 3380,"4,134",1150,5.11,$809.00*
Intel Core i3-8145UE @ 2.20GHz,"4,133",1151,14.71,$281.00*
AMD Ryzen 3 3250U,"4,130",1152,NA,NA
AMD FX-6300 Six-Core,"4,129",1153,76.48,$53.99 
Intel Core i5-3475S @ 2.90GHz,"4,116",1154,28.68,$143.50*
Intel Core i3-6098P @ 3.60GHz,"4,109",1155,30.72,$133.74*
Snapdragon 8cx Gen 2 @ 3.1,"4,103",1156,NA,NA
Intel Pentium Gold G5620 @ 4.00GHz,"4,102",1157,25.64,$159.99 
Intel Core i5-2500K @ 3.30GHz,"4,085",1158,40.86,$99.96 
Intel Core i5-2500 @ 3.30GHz,"4,082",1159,45.89,$88.95 
Intel Core i5-7267U @ 3.10GHz,"4,078",1160,NA,NA
Intel Celeron J6413 @ 1.80GHz,"4,075",1161,NA,NA
AMD Opteron 6234,"4,072",1162,9.03,$450.99*
Intel Core i3-10110U @ 2.10GHz,"4,062",1163,9.36,$434.17*
06/8e,"4,057",1164,NA,NA
Intel Core i5-3330 @ 3.00GHz,"4,055",1166,10.17,$398.80 
Intel Core i5-3340S @ 2.80GHz,"4,055",1165,12.7,$319.19 
Apple A11 Bionic,"4,054",1167,NA,NA
Intel Core i3-1000NG4 @ 1.10GHz,"4,046",1168,NA,NA
Intel Core i3-6300T @ 3.30GHz,"4,040",1169,28.86,$139.99 
Intel Xeon E5-2407 v2 @ 2.40GHz,"4,034",1170,16.2,$249.00*
MT6889Z/CZA,"4,033",1171,NA,NA
Intel Xeon E5640 @ 2.67GHz,"4,018",1172,50.22,$80.00 
AMD FX-6200 Six-Core,"4,014",1174,13.38,$299.95*
Intel Core i5-4430S @ 2.70GHz,"4,014",1173,43.64,$91.99 
Intel Core i5-4590T @ 2.00GHz,"4,013",1175,19.12,$209.95*
Intel Core i7-2720QM @ 2.20GHz,"4,010",1176,22.28,$179.95*
AMD Opteron 6212,"4,007",1177,69.09,$57.99 
Intel Pentium Gold G6500T @ 3.50GHz,"4,005",1178,53.4,$75.00*
AMD Athlon 300U,"4,002",1179,NA,NA
Intel Core i3-7101TE @ 3.40GHz,"3,985",1180,34.06,$117.00*
Intel Core i5-2450P @ 3.20GHz,"3,974",1181,29.66,$133.99 
AMD Opteron 3365,"3,973",1182,NA,NA
AMD Ryzen Embedded R1505G,"3,966",1183,NA,NA
AMD Ryzen 3 3200U,"3,964",1184,NA,NA
Microsoft ARM SQ1 @ 3.0 GHz,"3,951",1185,NA,NA
AMD Opteron 4334,"3,949",1186,7.03,$562.00*
Intel Xeon E5-2603 v3 @ 1.60GHz,"3,948",1187,60.85,$64.88 
Intel Core i5-7260U @ 2.20GHz,"3,942",1188,8.39,$469.99*
Intel Core i7-985 @ 3.47GHz,"3,928",1189,NA,NA
Intel Xeon E3-1260L @ 2.40GHz,"3,891",1190,31.13,$125.00*
Hisilicon Kirin980,"3,890",1191,NA,NA
AMD Ryzen 5 3500C,"3,889",1192,NA,NA
AMD FX-6120 Six-Core,"3,886",1193,43.23,$89.89*
Intel Core i7-6660U @ 2.40GHz,"3,879",1194,9.35,$415.00*
AMD A8-7500,"3,878",1195,NA,NA
AMD PRO A12-9800,"3,878",1196,22.95,$169.00*
Intel Core i5-3330S @ 2.70GHz,"3,864",1197,70.42,$54.88 
AMD PRO A12-8870,"3,848",1198,NA,NA
AMD FX-8100 Eight-Core,"3,847",1199,27.87,$138.02*
Intel Core i5-6287U @ 3.10GHz,"3,844",1200,12.64,$304.00*
Intel Core i7-2840QM @ 2.40GHz,"3,842",1201,NA,NA
Intel Core i3-7100T @ 3.40GHz,"3,835",1202,38.35,$99.99 
Intel Core i3-8145U @ 2.10GHz,"3,827",1204,13.62,$281.00*
"Qualcomm Technologies, Inc SM8150P","3,827",1203,NA,NA
AMD Ryzen Embedded V1202B,"3,823",1205,NA,NA
"Qualcomm Technologies, Inc SM8150","3,822",1206,NA,NA
Intel Core i5-2400 @ 3.10GHz,"3,820",1207,88.87,$42.99 
Intel Pentium G4620 @ 3.70GHz,"3,818",1208,27.3,$139.88 
Intel Core i7-6567U @ 3.30GHz,"3,817",1209,NA,NA
Intel Core i7-2670QM @ 2.20GHz,"3,812",1210,29.55,$129.00*
Intel Core i7-7560U @ 2.40GHz,"3,798",1211,NA,NA
Intel Core i5-2380P @ 3.10GHz,"3,797",1212,21.7,$174.95 
Intel Xeon E3-1220 @ 3.10GHz,"3,788",1213,63.15,$59.99 
Intel Xeon E3-1225 @ 3.10GHz,"3,778",1214,17.72,$213.19 
Intel Xeon E5-1607 @ 3.00GHz,"3,776",1215,327.49,$11.53*
AMD Athlon X4 845,"3,763",1216,47.04,$79.99 
Intel Pentium N6415 @ 1.20GHz,"3,760",1217,47,$80.00*
Intel Core i5-3335S @ 2.70GHz,"3,754",1218,NA,NA
AMD PRO A10-8850B,"3,752",1219,NA,NA
Intel Pentium Gold G6405T @ 3.50GHz,"3,746",1220,58.54,$64.00*
ZHAOXIN KaiXian KX-U6780A@2.7GHz,"3,744",1221,NA,NA
Intel Core i5-7300U @ 2.60GHz,"3,743",1222,5.97,$627.00*
Intel Pentium Gold G5600 @ 3.90GHz,"3,739",1223,23.51,$159.00 
Intel Pentium Silver N6000 @ 1.10GHz,"3,737",1224,NA,NA
Intel Pentium Gold G5400 @ 3.70GHz,"3,724",1225,53.21,$69.99 
AMD Opteron 3280,"3,720",1227,37.94,$98.04*
Intel Xeon E5630 @ 2.53GHz,"3,720",1226,25.11,$148.19 
Intel Pentium Gold G5420T @ 3.20GHz,"3,716",1228,58.06,$64.00*
AMD Opteron 4332 HE,"3,715",1229,100.44,$36.99*
Intel Xeon E5620 @ 2.40GHz,"3,709",1230,75.7,$49.00 
Intel Core i7-2710QE @ 2.10GHz,"3,704",1231,NA,NA
Intel Pentium Gold G5500 @ 3.80GHz,"3,698",1232,19.5,$189.69 
AMD Opteron 6174,"3,697",1233,1.14,"$3,245.00*"
AMD Phenom II X6 1100T,"3,693",1234,26.78,$137.88 
AMD Ryzen 3 2200U,"3,684",1235,NA,NA
Intel Core i3-4370 @ 3.80GHz,"3,682",1236,12.31,$299.00*
Intel Core i3-8130U @ 2.20GHz,"3,676",1237,13.08,$281.00*
Intel Xeon E5-2609 v2 @ 2.50GHz,"3,666",1238,35.05,$104.59 
AMD A9-9820,"3,662",1239,NA,NA
AMD FX-6100 Six-Core,"3,661",1240,86.61,$42.27 
Intel Core i3-4360 @ 3.70GHz,"3,657",1241,13.55,$269.95*
Intel Core i7-7500U @ 2.70GHz,"3,653",1242,6.78,$539.00*
Intel Pentium Silver J5040 @ 2.00GHz,"3,646",1243,NA,NA
Intel Core i7-7600U @ 2.80GHz,"3,640",1244,NA,NA
Snapdragon 8cx @ 2.84 GHz,"3,635",1245,NA,NA
AMD Athlon X4 950,"3,628",1246,27.28,$133.00*
Intel Core i5-2320 @ 3.00GHz,"3,621",1247,34.82,$103.99 
AMD Athlon X4 880K,"3,618",1249,36.18,$99.99*
MediaTek MT6873,"3,618",1248,NA,NA
Intel Core i3-4170 @ 3.70GHz,"3,614",1250,39.34,$91.85 
Intel Pentium Gold G6400T @ 3.40GHz,"3,610",1251,56.4,$64.00*
Intel Core i3-4340 @ 3.60GHz,"3,606",1252,20.03,$179.99*
Intel Core i7-6650U @ 2.20GHz,"3,605",1253,NA,NA
AMD PRO A10-9700,"3,603",1254,21.32,$169.00*
AMD Phenom II X6 1090T,"3,601",1255,39.98,$90.05 
Intel Xeon E3-1265L @ 2.40GHz,"3,589",1256,3.91,$918.35*
Intel Core i5-4460T @ 1.90GHz,"3,586",1257,NA,NA
Intel Pentium G4600 @ 3.60GHz,"3,585",1258,25.25,$141.99 
Intel Core i3-6100T @ 3.20GHz,"3,569",1259,26.44,$134.99*
AMD A8-7680,"3,568",1260,71.25,$50.08*
AMD Opteron 6176 SE,"3,564",1261,14.26,$249.89*
Intel Core i3-4330 @ 3.50GHz,"3,561",1263,26.74,$133.18 
MT6875,"3,561",1262,NA,NA
MT6877V/ZA,"3,547",1264,NA,NA
Intel Core i7-2630QM @ 2.00GHz,"3,540",1265,37.65,$94.02*
AMD A10-7890K,"3,535",1266,21.14,$167.27 
Intel Core i5-2310 @ 2.90GHz,"3,534",1267,45.44,$77.77 
AMD A10-9700,"3,529",1268,35.55,$99.27 
AMD A10-8850,"3,525",1269,NA,NA
Intel Pentium Gold G5420 @ 3.80GHz,"3,520",1270,16.57,$212.40 
AMD PRO A10-8770,"3,518",1272,NA,NA
Intel Core i7-6600U @ 2.60GHz,"3,518",1271,NA,NA
Intel Xeon E5-2418L @ 2.00GHz,"3,518",1273,NA,NA
Intel Pentium G4560 @ 3.50GHz,"3,513",1274,28.11,$124.98 
AMD A10-7870K,"3,506",1275,15.44,$226.99*
Intel Core i3-7167U @ 2.80GHz,"3,489",1276,NA,NA
AMD Opteron 6164 HE,"3,478",1278,NA,NA
Intel Xeon E5-1603 @ 2.80GHz,"3,478",1277,99.41,$34.99 
Intel Xeon W3580 @ 3.33GHz,"3,471",1279,16.18,$214.50*
Intel Core i3-4160 @ 3.60GHz,"3,465",1280,18.73,$184.99 
Intel Core i5-4340M @ 2.90GHz,"3,464",1281,NA,NA
AMD Athlon X4 860K,"3,453",1282,65.17,$52.98 
Intel Xeon X5698 @ 4.40GHz,"3,447",1283,NA,NA
"Qualcomm Technologies, Inc SM8150_Plus","3,446",1284,NA,NA
Intel Core i3-10110Y @ 1.00GHz,"3,444",1285,12,$287.00*
Intel Core i3-7100H @ 3.00GHz,"3,430",1286,15.25,$225.00*
AMD Embedded R-Series RX-418GD Radeon R6,"3,426",1287,NA,NA
AMD Athlon X4 870K,"3,425",1288,70.82,$48.36 
Intel Core i7-6560U @ 2.20GHz,"3,423",1289,NA,NA
Intel Core i5-2500S @ 2.70GHz,"3,415",1290,61.7,$55.34*
AMD A12-9800E,"3,410",1291,11.48,$296.96*
AMD A10 PRO-7850B APU,"3,406",1292,23.01,$148.02*
Intel Core i5-7200U @ 2.50GHz,"3,402",1293,6.82,$499.00*
AMD A10-7850K APU,"3,397",1294,47.26,$71.87 
Intel Xeon E5-4603 @ 2.00GHz,"3,391",1295,25.65,$132.19 
Intel Core i5-L16G7 @ 1.40GHz,"3,390",1296,12.06,$281.00*
Intel Xeon W5580 @ 3.20GHz,"3,386",1297,10.42,$324.97 
Intel Core i7-5557U @ 3.10GHz,"3,383",1298,5.58,$605.99*
AMD Opteron 6136,"3,381",1299,74.15,$45.60*
Intel Celeron N5105 @ 2.00GHz,"3,376",1300,NA,NA
Intel Core i5-2300 @ 2.80GHz,"3,371",1301,112.42,$29.99*
AMD FX-B4150 Quad-Core,"3,369",1302,37.57,$89.68*
Intel Core i5-6267U @ 2.90GHz,"3,362",1303,NA,NA
Intel Xeon W3570 @ 3.20GHz,"3,354",1304,7.14,$469.95*
AMD PRO A8-9600,"3,347",1305,28.13,$119.00*
Intel Core i5-6360U @ 2.00GHz,"3,346",1306,NA,NA
Intel Core i3-4150 @ 3.50GHz,"3,339",1307,47.7,$70.00 
AMD Phenom II X6 1405T,"3,335",1308,NA,NA
AMD Ryzen Embedded R1305G,"3,329",1309,NA,NA
AMD FX-4150 Quad-Core,"3,327",1310,NA,NA
Intel Xeon D-1520 @ 2.20GHz,"3,324",1311,NA,NA
Intel Core i3-6100E @ 2.70GHz,"3,315",1312,NA,NA
Intel Core i7-975 @ 3.33GHz,"3,311",1313,25.47,$129.99 
Intel Core i5-5287U @ 2.90GHz,"3,309",1314,NA,NA
AMD Athlon X4 840,"3,305",1315,26.45,$124.95*
AMD Embedded R-Series RX-421BD,"3,302",1316,NA,NA
AMD A10-8750,"3,300",1318,NA,NA
Intel Xeon W3565 @ 3.20GHz,"3,300",1317,55.05,$59.95*
Intel Xeon L5609 @ 1.87GHz,"3,298",1319,NA,NA
Intel Core i3-4350 @ 3.60GHz,"3,297",1320,65.96,$49.99*
Intel Core i7-6498DU @ 2.50GHz,"3,293",1321,NA,NA
AMD Opteron X3421 APU,"3,289",1322,NA,NA
Intel Core i7-965 @ 3.20GHz,"3,288",1323,36.14,$90.99 
Intel Core i7-6500U @ 2.50GHz,"3,281",1324,8.35,$393.00*
AMD A10-7860K,"3,280",1325,33.62,$97.58 
Intel Core i3-6100TE @ 2.70GHz,"3,280",1326,NA,NA
Intel Core i7-4610M @ 3.00GHz,"3,278",1327,NA,NA
Intel Xeon X5570 @ 2.93GHz,"3,277",1328,32.77,$100.00 
AMD FX-4350 Quad-Core,"3,274",1329,24.43,$134.02*
Intel Core i7-2675QM @ 2.20GHz,"3,274",1330,NA,NA
Intel Core i7-4600M @ 2.90GHz,"3,268",1331,NA,NA
AMD Opteron 4365 EE,"3,263",1332,NA,NA
AMD A8-9600,"3,261",1333,34.34,$94.98 
Intel Core i5-6300U @ 2.40GHz,"3,257",1334,NA,NA
Intel Core i3-4130 @ 3.40GHz,"3,255",1335,45.03,$72.29 
Intel Core i7-960 @ 3.20GHz,"3,252",1336,35.75,$90.99 
Intel Core i5-4400E @ 2.70GHz,"3,251",1337,12.22,$266.00*
Intel Core i3-4370T @ 3.30GHz,"3,250",1338,23.55,$138.00*
AMD FX-4330,"3,248",1339,4.43,$733.50*
ARM Neoverse-N1 4 Core 0 MHz,"3,246",1340,NA,NA
Intel Xeon X3480 @ 3.07GHz,"3,245",1341,NA,NA
AMD Phenom II X6 1065T,"3,244",1342,25.77,$125.85 
Intel Core i3-4570T @ 2.90GHz,"3,244",1343,NA,NA
Intel Pentium D1508 @ 2.20GHz,"3,240",1344,25.12,$129.00*
Samsung Exynos 9825,"3,238",1345,NA,NA
Intel Core i5-4570T @ 2.90GHz,"3,236",1346,22.63,$142.99 
Intel Pentium Gold G5500T @ 3.20GHz,"3,234",1347,43.13,$75.00*
Intel Xeon W5590 @ 3.33GHz,"3,234",1348,2.3,"$1,406.34 "
Intel Core i7-2635QM @ 2.00GHz,"3,232",1349,NA,NA
Intel Xeon L5638 @ 2.00GHz,"3,225",1350,46.14,$69.90*
Intel Core i7-2715QE @ 2.10GHz,"3,221",1351,NA,NA
AMD PRO A8-8650B,"3,216",1352,NA,NA
AMD A8-7600 APU,"3,210",1353,52.64,$60.99*
Intel Core i5-4330M @ 2.80GHz,"3,208",1354,11.66,$274.99*
Samsung Exynos 9820,"3,203",1355,NA,NA
AMD Athlon Silver 3050U,"3,197",1356,NA,NA
AMD PRO A12-9800E,"3,191",1357,18.88,$169.00*
Intel Core i7-4578U @ 3.00GHz,"3,184",1358,NA,NA
AMD A12-9800,"3,175",1359,26.46,$119.98 
AMD A12-9730P,"3,172",1360,NA,NA
AMD A10 PRO-7800B APU,"3,171",1361,NA,NA
Intel Xeon W3550 @ 3.07GHz,"3,168",1362,63.43,$49.95*
AMD FX-4320,"3,167",1363,NA,NA
Intel Core i3-4360T @ 3.20GHz,"3,164",1364,NA,NA
Intel Core i5-6198DU @ 2.30GHz,"3,163",1365,NA,NA
MediaTek MT6853T,"3,162",1366,NA,NA
Intel Core i5-4310M @ 2.70GHz,"3,160",1367,NA,NA
AMD A10-6800K APU,"3,156",1368,40.42,$78.07 
Intel Atom C3858 @ 2.00GHz,"3,154",1369,9.5,$332.00*
Intel Xeon X3470 @ 2.93GHz,"3,154",1370,31.17,$101.19 
AMD Phenom II X6 1055T,"3,152",1371,64.76,$48.67 
AMD A10-9700E,"3,151",1372,15.02,$209.77*
Samsung Exynos 9810,"3,147",1373,NA,NA
Intel Core i5-6260U @ 1.80GHz,"3,144",1374,6.3,$499.00*
AMD FX-9830P,"3,140",1375,NA,NA
Intel Core i5-2400S @ 2.50GHz,"3,138",1376,21.61,$145.19*
Intel Core i3-4170T @ 3.20GHz,"3,137",1377,15.69,$199.95*
AMD FX-4200 Quad-Core,"3,134",1378,52.27,$59.95*
Intel Pentium G4600T @ 3.00GHz,"3,130",1379,26.09,$119.99 
AMD FX-4170 Quad-Core,"3,121",1380,62.44,$49.98 
AMD A10-7800 APU,"3,119",1381,57.19,$54.54 
Intel Pentium Gold G5400T @ 3.10GHz,"3,119",1382,19.62,$159.00*
MT6833V/NZA,"3,110",1383,NA,NA
AMD A10-7700K APU,"3,109",1384,48.99,$63.46 
Intel Core i3-4160T @ 3.10GHz,"3,105",1385,51.75,$59.99*
Intel Core i7-5650U @ 2.20GHz,"3,104",1386,NA,NA
Intel Core i7-950 @ 3.07GHz,"3,104",1387,11.5,$270.00*
AMD PRO A10-8770E,"3,101",1388,NA,NA
Intel Core i3-4330T @ 3.00GHz,"3,098",1389,NA,NA
AMD FX-870K Quad Core,"3,094",1390,NA,NA
Intel Pentium Silver J5005 @ 1.50GHz,"3,091",1391,5.92,$521.99*
MT6833,"3,089",1392,NA,NA
AMD A10-6700 APU,"3,087",1393,54,$57.17 
AMD PRO A10-9700E,"3,087",1394,22.21,$139.00*
Intel Core i5-4200H @ 2.80GHz,"3,086",1395,NA,NA
MT6853V/TNZA,"3,085",1396,NA,NA
Intel Core i5-4570TE @ 2.70GHz,"3,084",1397,8.97,$343.99 
Intel Core i7-875K @ 2.93GHz,"3,078",1398,7.33,$420.00 
Intel Core i7-940 @ 2.93GHz,"3,075",1399,55.92,$54.98 
AMD Opteron X3418 APU,"3,074",1400,NA,NA
"Qualcomm Technologies, Inc SM7225","3,070",1401,NA,NA
ZHAOXIN KaiXian KX-U6580@2.5GHz,"3,066",1402,NA,NA
AMD Opteron 2435,"3,061",1404,219.41,$13.95*
Intel Core i5-24050S @ 2.50GHz,"3,061",1403,NA,NA
AMD Phenom II X6 1075T,"3,060",1405,40.67,$75.25 
Intel Core i7-870 @ 2.93GHz,"3,056",1406,53.63,$56.99*
Intel Xeon X5560 @ 2.80GHz,"3,045",1407,38.06,$80.00 
Intel Core i5-5257U @ 2.70GHz,"3,039",1408,NA,NA
Intel Celeron J4125 @ 2.00GHz,"3,034",1409,NA,NA
AMD A8-7670K,"3,028",1410,33.65,$89.99 
Intel Core m3-8100Y @ 1.10GHz,"3,028",1411,10.78,$281.00*
Intel Core i5-6200U @ 2.30GHz,"3,025",1412,NA,NA
Intel Core i5-3380M @ 2.90GHz,"3,018",1413,NA,NA
AMD Opteron 6128 HE,"3,015",1414,NA,NA
AMD PRO A12-8870E,"3,014",1416,NA,NA
Intel Core i3-6100H @ 2.70GHz,"3,014",1415,NA,NA
SMDK4x12,"3,006",1417,NA,NA
Intel Core i5-4300M @ 2.60GHz,"3,003",1418,NA,NA
Intel Core i5-4308U @ 2.80GHz,"3,003",1419,NA,NA
AMD Phenom II X6 1045T,"2,999",1420,57.01,$52.61 
Hisilicon Kirin810,"2,996",1422,NA,NA
Intel Core i5-7Y57 @ 1.20GHz,"2,996",1421,NA,NA
AMD PRO A8-8670E,"2,989",1423,NA,NA
Intel Xeon W3530 @ 2.80GHz,"2,983",1424,165.84,$17.99*
"Qualcomm Technologies, Inc SM7250","2,983",1425,NA,NA
Intel Core i3-7130U @ 2.70GHz,"2,980",1426,6.48,$459.99*
Intel Core i5-2405S @ 2.50GHz,"2,980",1427,14.33,$208.00*
Intel Xeon E5-2637 @ 3.00GHz,"2,978",1428,19.86,$149.95 
"Qualcomm Technologies, Inc SDMMAGPIEP","2,977",1429,NA,NA
AMD A8-6600K APU,"2,972",1430,73.09,$40.67 
AMD FX-670K Quad-Core,"2,969",1432,NA,NA
Intel Core i7-5600U @ 2.60GHz,"2,969",1431,NA,NA
AMD A10-6790K APU,"2,968",1434,59.51,$49.87 
Intel Pentium G4560T @ 2.90GHz,"2,968",1433,22.83,$129.99 
Intel Xeon X5550 @ 2.67GHz,"2,964",1435,82.36,$35.99 
Intel Celeron J4105 @ 1.50GHz,"2,957",1436,27.64,$107.00*
Intel Core i7-4560U @ 1.60GHz,"2,950",1437,NA,NA
AMD A10-9630P,"2,947",1438,NA,NA
Intel Core i5-4210H @ 2.90GHz,"2,947",1439,NA,NA
Intel Pentium G4520 @ 3.60GHz,"2,945",1440,22.66,$129.99 
AMD FX-4300 Quad-Core,"2,942",1442,92.31,$31.87 
Intel Core i5-3470T @ 2.90GHz,"2,942",1441,10.9,$269.95*
Intel Core i7-4558U @ 2.80GHz,"2,941",1443,NA,NA
AMD A8-7650K,"2,939",1445,46.01,$63.87 
AMD Athlon X4 760K Quad Core,"2,939",1444,63.02,$46.64 
AMD Opteron 2431,"2,936",1446,117.48,$24.99*
Intel Core i5-4210M @ 2.60GHz,"2,935",1448,9.47,$309.95*
"Qualcomm Technologies, Inc LAGOON","2,935",1447,NA,NA
AMD Phenom II X6 1035T,"2,932",1449,27.15,$108.00*
MediaTek MT6785V/CD,"2,920",1450,NA,NA
"Qualcomm Technologies, Inc LITO","2,917",1451,NA,NA
AMD A10-5800K APU,"2,913",1452,62.95,$46.28 
Intel Core i7-5550U @ 2.00GHz,"2,908",1453,NA,NA
AMD Athlon X4 830,"2,901",1454,14.34,$202.32*
AMD A10-5800B APU,"2,897",1455,64.4,$44.99*
AMD Athlon Silver 3050e,"2,897",1456,NA,NA
MediaTek MT6785V/CC,"2,893",1457,NA,NA
Intel Xeon W3540 @ 2.93GHz,"2,890",1458,5.65,$511.44 
Intel Core i3-4350T @ 3.10GHz,"2,888",1459,NA,NA
Intel Core i7-8500Y @ 1.50GHz,"2,888",1460,7.35,$393.00*
Intel Core i3-4130T @ 2.90GHz,"2,877",1461,11.57,$248.56*
Intel Celeron G5925 @ 3.60GHz,"2,873",1462,44.21,$64.99 
Intel Xeon E5-2403 v2 @ 1.80GHz,"2,873",1463,5.72,$502.00*
AMD Opteron 4184,"2,872",1464,5.76,$498.95*
Intel Core i5-3360M @ 2.80GHz,"2,867",1465,36.74,$78.02*
Intel Core i7-3520M @ 2.90GHz,"2,866",1466,23.49,$122.02*
Intel Core i5-8210Y @ 1.60GHz,"2,865",1468,NA,NA
Intel Core i7-930 @ 2.80GHz,"2,865",1467,98.87,$28.98 
AMD A8-6500B APU,"2,857",1469,57.19,$49.95*
AMD FX-7600P APU,"2,856",1472,NA,NA
Intel Core i7-3540M @ 3.00GHz,"2,856",1471,6.64,$429.95*
Intel Core i7-860 @ 2.80GHz,"2,856",1470,64.92,$43.99*
Intel Core i5-2500T @ 2.30GHz,"2,852",1473,31.7,$89.99*
Intel Celeron G5905 @ 3.50GHz,"2,846",1474,52.48,$54.23 
Intel Core i3-4150T @ 3.00GHz,"2,846",1475,6.82,$417.42*
Intel Xeon E3-1220L V2 @ 2.30GHz,"2,845",1476,NA,NA
Intel Xeon L5630 @ 2.13GHz,"2,836",1477,29.86,$94.99 
Intel Core i5-7Y54 @ 1.20GHz,"2,832",1478,NA,NA
AMD Phenom II X4 980,"2,829",1479,21.76,$130.00*
Intel Core m3-7Y32 @ 1.10GHz,"2,829",1480,NA,NA
AMD Opteron 6128,"2,826",1481,10.5,$269.00*
AMD Opteron 3350 HE,"2,825",1482,8.09,$349.00*
AMD A10-6800B APU,"2,824",1483,22.06,$128.02*
AMD PRO A10-8750B,"2,824",1484,NA,NA
"Qualcomm Technologies, Inc SM7125","2,823",1485,NA,NA
"Qualcomm Technologies, Inc SDM765G 5G","2,820",1486,NA,NA
MT6785,"2,812",1487,NA,NA
Intel Celeron G5920 @ 3.50GHz,"2,807",1488,42.53,$65.99 
Intel Core i7-880 @ 3.07GHz,"2,803",1489,8.27,$338.97 
Intel Core i5-4278U @ 2.60GHz,"2,800",1490,NA,NA
AMD Athlon X4 750K Quad Core,"2,792",1492,14.66,$190.44*
Intel Xeon X3450 @ 2.67GHz,"2,792",1491,27.61,$101.13 
AMD A8-6500 APU,"2,791",1493,61.95,$45.05 
AMD Opteron 6172,"2,789",1494,14.68,$189.95*
Intel Core i5-4200M @ 2.50GHz,"2,789",1495,31.35,$88.95*
Intel Core i7-870S @ 2.67GHz,"2,786",1496,NA,NA
MT6853V/NZA,"2,785",1497,NA,NA
"Qualcomm Technologies, Inc SDMMAGPIE","2,783",1498,NA,NA
Intel Core2 Extreme X9775 @ 3.20GHz,"2,780",1499,1.54,"$1,805.95*"
AMD A8-8650,"2,774",1500,NA,NA
AMD FX-8800P,"2,768",1501,NA,NA
Intel Celeron G5900 @ 3.40GHz,"2,768",1502,27.96,$99.01 
"Qualcomm Technologies, Inc SDM720G","2,764",1503,NA,NA
AMD A10-5700 APU,"2,758",1504,46.01,$59.95*
AMD A8-5600K APU,"2,755",1505,15.74,$175.00 
Intel Core 860 @ 2.80GHz,"2,754",1506,19.47,$141.45 
